text;class
admin ditanyain template;NEGATIF
halo admin tolong baca dm;NEGATIF
jne kesini parah;NEGATIF
halo tolong jngan update lapor kirim palsu kurir pesan bukti cctv malas bilang jngan blg lokasi;NEGATIF
direspon nunggu ayam sapi;NEGATIF
twitter respon doang;NEGATIF
halo kak terima kasih paket bandung alamat besok pagi pesan tanggal sampe nyampe rumah sabtu;NEGATIF
cek dm;NEGATIF
kak pastiin yg pake jne buruk adminnya cman modal maaf doang;NEGATIF
wkwk bener bang gua jga minggu kaga paket harga jta ktanya hilang konyol udh jgn pake jne lg bang mending;NEGATIF
cek dm;NEGATIF
cek dm;NEGATIF
masama moga paket cepat terima selamat yaaaa aamiin yra;NEGATIF
paket jalan tanggal macet gateway surabaya tolong lacakin minnnnn;NEGATIF
saking alas gudang sortir kirim dr gudang sortir gudang sortir terima ujung msih sby dasar jasa rim kredibel hri kirim;NEGATIF
halo paket jne yes resi tlje dnv nyampe;NEGATIF
malam tlong no resi alamat info cek resi miss route tlong hubung;NEGATIF
paket sampe sampe;NEGATIF
tolong cek dm nih males kalo pake jne;NEGATIF
alhamdulillah mantap deh thanks info;NEGATIF
paket gagal ulang tanngal november tpi november;NEGATIF
telpon cs sibuk;NEGATIF
halo tolong perbaikin jne jakarta malas paket;NEGATIF
alhamdulillah toko bagus packingnya pake box kayu yg kokoh bubble wrap;NEGATIF
halo admin jual rugi karna paket tgl november skrang customer jarak serang jakarta;NEGATIF
complen tanggap tolong pegawai malas paket;NEGATIF
barang sy blm nih barusan cek kota transit paket jalan deg deg;NEGATIF
iya ajuin komplain tokopedia kemaren;NEGATIF
paket minggu parahhhh kaya yg peduli langgan;NEGATIF
halo tolong cek dm;NEGATIF
jam jne depok margonda jam makasih;NEGATIF
yakali gue nunggu barang minggu suruh nunggu jne dm kaya ngomong tembok empati ngepush ekspedisi;NEGATIF
paket nyampe minggu aduuuuuh kacau kaya yg komplain mohon tindaklanjuti;NEGATIF
kemarin sempet ngajuin komplain tokped;NEGATIF
kak tindak shopee jne gila sampe ilang kaya ngomong tembok;NEGATIF
paket kg indikasi hilang mantep bener expedisi;NEGATIF
pake yg bro gwe barang sampe hilang transaksi puluh juta;NEGATIF
belanja online alamat kurir kirim alamat rumah pake jne alamat temu kurir kurir jalan;NEGATIF
harap paket tgl blm sampe jarak bdg bks;NEGATIF
paket jg minggu gajelas yg abis pikir jne yg kirim suruh lapor marketplace alesannya biar pintu yakale yg konsumen yg sur;NEGATIF
jl sultan bagagarsah pagaruyung batusangkar pagaruyung tj kabupaten tanah datar sumatera;NEGATIF
selamat sore paket estimasi kirim tolong cek;NEGATIF
cek dm;NEGATIF
paket terima;NEGATIF
dm;NEGATIF
tunggu;NEGATIF
iya bro grogol;NEGATIF
gausah bales kek bot deh mending bales dm rep rep doang klo kaga bales dm;NEGATIF
baca dm komplain kait attitude komunikasi;NEGATIF
gimana nihh stuck mulu maju nyaman semarang gimana paket;NEGATIF
hallo cek dm;POSITIF
dm;POSITIF
gerak bro mending pake yg;POSITIF
halo jne paket kirim tulis tracking terima ybs pdahal ybs rumah mohon cek dm;POSITIF
